Latitude,Longitude,Station,Depth,Temperature,Salinity,Nitrate,Iron,Pressure,Ratio,Density
17.3525,341.74689,Station 9,106.4,14.77,35.68,24.780001,,107.1,,26.545328829928394
17.3525,341.74689,Station 9,109.4,14.99,35.709999,23.5249995,1.2807315,110.1,18368.40860086599,26.519874737016153
17.3525,341.74689,Station 9,112.3,14.92,35.66,24.85,,113.0,,26.4970761287434
17.3525,341.74689,Station 9,135.0,,,,,135.9,,
17.3525,341.74689,Station 9,135.2,14.06,35.57,24.409999499999998,1.410366,136.1,17307.563781316338,26.61426523127716
17.3525,341.74689,Station 9,136.6,14.4,35.610001,25.030001,,137.5,,26.572232334759974
17.3525,341.74689,Station 9,137.7,14.11,35.580002,23.57,,138.6,,26.611325801815156
17.3525,341.74689,Station 9,150.3,13.71,35.529999,25.92,,151.3,,26.657305175646343
17.3525,341.74689,Station 9,161.0,13.73,35.529999,25.879999,,162.0,,26.65315927986694
17.3525,341.74689,Station 9,184.8,13.3,35.5,25.8900005,1.510488,186.0,17140.156360063767,26.71916991886451
17.3525,341.74689,Station 9,185.0,,,,,186.2,,
17.3525,341.74689,Station 9,185.9,13.3,35.490002,26.469999,,187.1,,26.711480270827906
17.3525,341.74689,Station 9,186.3,13.42,35.5,26.51,,187.5,,26.694513481580998
17.3525,341.74689,Station 9,187.3,13.39,35.509998,25.059999,,188.5,,26.708383057673927
17.3525,341.74689,Station 9,220.8,12.9,35.470001,26.740000000000002,1.6165855,222.2,16541.03664792243,26.777346893773256
17.3525,341.74689,Station 9,235.0,,,,,236.5,,
17.3525,341.74689,Station 9,235.7,12.65,35.439999,28.08,,237.2,,26.804209277995596
17.3525,341.74689,Station 9,236.3,12.82,35.490002,26.32,,237.9,,26.808844531589102
17.3525,341.74689,Station 9,249.3,12.66,35.48,28.4,,250.9,,26.833090243426795
17.3525,341.74689,Station 9,285.2,12.24,35.419998,28.8949995,1.6904880000000002,287.1,17092.697197495632,26.869489336185325
17.3525,341.74689,Station 9,348.4,11.46,35.349998,31.67,,350.8,,26.964285189241537
17.3525,341.74689,Station 9,361.1,11.33,35.330002,31.54,1.4737135000000001,363.6,21401.717498007583,26.97303574516559
17.3525,341.74689,Station 9,388.6,11.03,35.310001,32.23,,391.3,,27.012793955343568
17.3525,341.74689,Station 9,389.3,11.02,35.299999,31.5,,392.0,,27.00686754196545
17.3525,341.74689,Station 9,389.4,11.02,35.299999,31.57,,392.1,,27.006867861621913
17.3525,341.74689,Station 9,390.0,,,,,392.7,,
17.3525,341.74689,Station 9,457.0,10.42,35.240002,33.209999,,460.3,,27.068090354441438
17.3538,339.17889,Station 10,2.0,,,,,2.0,,
17.3538,339.17889,Station 10,5.0,27.35,36.220001,,,5.0,,23.51031332604316
17.3538,339.17889,Station 10,17.1,27.34,36.220001,0.0,,17.2,,23.513584032166364
17.3538,339.17889,Station 10,27.2,26.16,36.279999,0.04,,27.4,,23.93519544533558
17.3538,339.17889,Station 10,30.0,,,,,30.2,,
17.3538,339.17889,Station 10,31.5,27.37,36.25,0.005,0.473171,31.7,10.567004317677965,23.52607151005543
17.3538,339.17889,Station 10,31.9,25.77,36.330002,0.09,,32.1,,24.0947230807069
17.3538,339.17889,Station 10,50.0,,,,,50.3,,
17.3538,339.17889,Station 10,50.6,18.01,35.860001,16.145000500000002,0.384756,50.9,41961.66011706121,25.9239261956493
17.3538,339.17889,Station 10,51.8,18.225,35.905001,14.57,,52.1,,25.904423705731006
17.3538,339.17889,Station 10,76.6,16.71,35.830002,22.379999,,77.1,,26.21695491108926
17.3538,339.17889,Station 10,84.6,15.14,35.66,24.679999000000002,1.309756,85.1,18843.203619605487,26.448019730602027
17.3538,339.17889,Station 10,86.6,15.23,35.669998,24.68,,87.1,,26.435622161565107
17.3538,339.17889,Station 10,100.0,,,,,100.6,,
17.3538,339.17889,Station 10,100.7,14.42,35.57,25.1149995,1.38878,101.3,18084.217442647503,26.536933233897344
17.3538,339.17889,Station 10,101.0,14.51,35.580002,25.02,,101.6,,26.525158037624124
17.3538,339.17889,Station 10,101.3,15.02,35.650002,24.620001,,101.9,,26.46712432047002
17.3538,339.17889,Station 10,121.4,14.26,35.560001,24.99,,122.2,,26.56376106220887
17.3538,339.17889,Station 10,140.0,,,,,140.9,,
17.3538,339.17889,Station 10,140.6,13.67,35.540001,24.5199995,1.411707,141.5,17369.042938796792,26.673181994229253
17.3538,339.17889,Station 10,140.7,13.87,35.580002,24.379999,,141.6,,26.6620089527853
17.3538,339.17889,Station 10,140.9,14.36,35.68,23.530001,,141.8,,26.634420125750694
17.3538,339.17889,Station 10,185.0,12.93,35.41,25.73,,186.2,,26.72492323553911
17.3538,339.17889,Station 10,185.6,12.84,35.389999,25.719999,,186.8,,26.727582081848368
17.3538,339.17889,Station 10,186.3,12.82,35.400002,25.775000499999997,1.406342,187.5,18327.690206222953,26.739294674914845
17.3538,339.17889,Station 10,234.5,12.69,35.439999,26.27,,236.0,,26.79618180008174
17.3538,339.17889,Station 10,234.8,12.72,35.459999,26.41,,236.3,,26.805625048526963
17.3538,339.17889,Station 10,235.0,,,,,236.5,,
17.3538,339.17889,Station 10,235.2,12.55,35.41,26.545,1.39561,236.7,19020.356689906206,26.80080720546698
17.3538,339.17889,Station 10,288.4,12.08,35.380001,28.139999,,290.3,,26.86954608815904
17.3538,339.17889,Station 10,290.5,12.07,35.389999,28.915,1.52878,292.4,18913.774382187104,26.879202277279774
17.3538,339.17889,Station 10,416.6,10.83,35.279999,31.950001,,419.5,,27.025864513775332
17.3538,339.17889,Station 10,417.7,10.74,35.279999,31.940001,,420.6,,27.042053954510493
17.3538,339.17889,Station 10,420.0,,,,,423.0,,
17.3538,339.17889,Station 10,421.3,10.72,35.259998,32.3149985,1.458537,424.3,22155.761903880397,27.030139453856464
17.3538,339.17889,Station 10,495.9,9.94,35.18,33.369999,,499.5,,27.104892738989975
17.3538,339.17889,Station 10,499.2,9.92,35.18,33.5,1.482439,502.8,22597.89441589165,27.1083255012677
17.3999,335.50009,Station 24,1.0,24.742,36.82,,,1.0,,24.776641076502983
17.3999,335.50009,Station 24,20.5,24.747,36.82,0.09,,20.6,,24.775150714912343
17.3999,335.50009,Station 24,38.0,24.676,36.807999,0.0,,38.2,,24.787906947707597
17.3999,335.50009,Station 24,38.1,24.731,36.821999,0.06,,38.3,,24.781551093737335
17.3999,335.50009,Station 24,39.9,24.694,36.834,0.005,0.470732,40.1,10.621755053831055,24.801789628656934
17.3999,335.50009,Station 24,48.1,24.678,36.806,0.03,,48.4,,24.785873073840094
17.3999,335.50009,Station 24,50.5,24.658,36.833,0.0,0.448293,50.8,0.0,24.81209971502153
17.3999,335.50009,Station 24,70.6,22.361,36.754002,0.6799999999999999,0.140488,71.0,4840.271055179089,25.432600535607207
17.3999,335.50009,Station 24,71.6,20.199,36.477001,7.87,,72.0,,25.824506250042077
17.3999,335.50009,Station 24,72.6,24.535,36.827,0.05,,73.0,,24.84514161798006
17.3999,335.50009,Station 24,73.0,,,,,73.5,,
17.3999,335.50009,Station 24,89.3,19.688,36.588001,9.51,,89.9,,26.04446580720628
17.3999,335.50009,Station 24,89.6,21.092,36.787998,2.8,,90.2,,25.815503289006756
17.3999,335.50009,Station 24,90.0,,,,,90.6,,
17.3999,335.50009,Station 24,90.5,20.268,36.657001,7.0649999999999995,0.296585,91.1,23821.164253080904,25.941742851118306
17.3999,335.50009,Station 24,119.2,17.831,36.237,14.65,,119.9,,26.254552736873848
17.3999,335.50009,Station 24,134.4,17.806,36.400002,12.61,,135.3,,26.38457290395968
17.3999,335.50009,Station 24,135.0,16.768,36.271999,13.66,,135.9,,26.539740098298807
17.3999,335.50009,Station 24,135.5,17.415,36.362,12.809999999999999,0.64439,136.4,19879.265662099035,26.45196751758067
17.3999,335.50009,Station 24,137.0,,,,,137.9,,
17.3999,335.50009,Station 24,183.7,14.295,35.742001,22.77,,184.9,,26.69583984544488
17.3999,335.50009,Station 24,184.7,15.97,36.120998,16.4,,185.9,,26.612257059086687
17.3999,335.50009,Station 24,186.0,,,,,187.2,,
17.3999,335.50009,Station 24,186.2,15.753,36.073002,17.6000005,0.841463,187.4,20915.952929599996,26.625539388785228
17.3999,335.50009,Station 24,234.5,13.458,35.611,24.690001,,236.0,,26.771836403850557
17.3999,335.50009,Station 24,234.7,13.778,35.653999,24.129999,,236.2,,26.738243663747426
17.3999,335.50009,Station 24,235.9,13.543,35.623001,24.4299995,1.201463,237.5,20333.542938900326,26.763464232104752
17.3999,335.50009,Station 24,236.0,,,,,237.6,,
17.3999,335.50009,Station 24,285.5,12.724,35.514,26.35,,287.4,,26.84639227557045
17.3999,335.50009,Station 24,285.9,12.667,35.508999,26.41,,287.8,,26.853891688647764
17.3999,335.50009,Station 24,286.0,12.645,35.507,26.415,1.273171,287.9,20747.40942104399,26.856724249814306
17.3999,335.50009,Station 24,348.7,11.749,35.398998,28.58,,351.1,,26.94756280565366
17.3999,335.50009,Station 24,349.7,11.894,35.416,28.35,,352.1,,26.93309628961424
17.3999,335.50009,Station 24,350.8,11.765,35.402,28.5249995,1.259512,353.2,22647.659966717267,26.946854683261336
17.3999,335.50009,Station 24,430.1,10.732,35.271,30.969999,,433.1,,27.036407997150945
17.3999,335.50009,Station 24,449.0,,,,,452.2,,
17.3999,335.50009,Station 24,449.9,10.816,35.303001,30.65,,453.1,,27.046223315889165
17.3999,335.50009,Station 24,451.0,10.684,35.285999,30.785,1.238049,454.2,24865.736331922242,27.056735648590802
31.7501,295.83051,Station 10,0.8,23.957,36.548,,,0.8,,24.811134303857898
31.7501,295.83051,Station 10,2.0,,,,,2.0,,
31.7501,295.83051,Station 10,20.6,24.025,36.592999,0.01,,20.7,,24.82435163844275
31.7501,295.83051,Station 10,40.4,24.13,36.587002,0.0,0.466829,40.699999999999996,0.0,24.788384270875213
31.7501,295.83051,Station 10,40.5,24.032,36.599333666666666,0.0033333333333333335,,40.8,,24.826976144003538
31.7501,295.83051,Station 10,41.0,,,,,41.3,,
31.7501,295.83051,Station 10,41.8,24.134,36.546001,0.01,,42.1,,24.756598511131642
31.7501,295.83051,Station 10,45.6,24.027,36.602001,,,45.9,,24.830465077299095
31.7501,295.83051,Station 10,61.3,24.064,36.636002,,,61.7,,24.84475812064852
31.7501,295.83051,Station 10,66.1,24.149,36.630001,0.0,0.477073,66.6,0.0,24.814769680708878
31.7501,295.83051,Station 10,74.0,23.595,36.646999,0.0,,74.5,,24.992762939135673
31.7501,295.83051,Station 10,74.3,24.056,36.646999,0.0,,74.8,,24.855374541587253
31.7501,295.83051,Station 10,75.1,24.035,36.66,0.0,,75.6,,24.87137082423601
31.7501,295.83051,Station 10,75.7,24.189,36.603001,0.0,,76.2,,24.78261366044876
31.7501,295.83051,Station 10,76.0,,,,,76.5,,
31.7501,295.83051,Station 10,76.5,24.015,36.653999,,,77.0,,24.872885172323777
31.7501,295.83051,Station 10,83.2,21.923,36.672001,,,83.8,,25.49571055879528
31.7501,295.83051,Station 10,84.0,24.086,36.667999,0.0,0.485366,84.6,0.0,24.86204273168778
31.7501,295.83051,Station 10,84.1,21.627,36.667999,,,84.7,,25.57610192010634
31.7501,295.83051,Station 10,84.7,21.529,36.669998,,,85.3,,25.605057208581684
31.7501,295.83051,Station 10,84.9,21.579,36.668999,,,85.5,,25.590309324248665
31.7501,295.83051,Station 10,85.0,21.6175,36.6665,,,85.6,,25.577640701176506
31.7501,295.83051,Station 10,85.3,21.582,36.667999,,,85.9,,25.588717660634757
31.7501,295.83051,Station 10,86.7,21.475,36.671001,,,87.3,,25.620904740188962
31.7501,295.83051,Station 10,88.9,22.569,36.689999,0.0,,89.5,,25.32472954720606
31.7501,295.83051,Station 10,89.1,22.116,36.664001,0.07,,89.7,,25.43495067973322
31.7501,295.83051,Station 10,90.1,21.332,36.694,0.0,,90.8,,25.678047710513738
31.7501,295.83051,Station 10,90.4,20.738,36.681,0.0,,91.1,,25.83206294517572
31.7501,295.83051,Station 10,91.0,,,,,91.7,,
31.7501,295.83051,Station 10,97.1,21.055,36.716,1.725,0.261463,97.70740740740742,6597.491805723946,25.77133929478464
31.7501,295.83051,Station 10,109.7,20.552,36.722,2.09,,110.5,,25.913633454063984
31.7501,295.83051,Station 10,110.3,20.399,36.689999,0.06,,111.1,,25.93101544042929
31.7501,295.83051,Station 10,110.4,19.86,36.688999,0.12,,111.2,,26.074859730926164
31.7501,295.83051,Station 10,110.5,19.821,36.687,,,111.3,,26.08371958051748
31.7501,295.83051,Station 10,111.0,,,,,111.8,,
31.7501,295.83051,Station 10,113.6,19.74,36.660999,0.16,,114.4,,26.08558529169909
31.7501,295.83051,Station 10,135.4,19.376,36.629002,0.785,0.136585,136.4,5747.3368232236335,26.157302243810136
31.7501,295.83051,Station 10,148.6,18.958,36.633999,2.11,,149.7,,26.269797163884732
31.7501,295.83051,Station 10,182.4,18.481,36.591,2.14,,183.8,,26.35948011096798
31.7501,295.83051,Station 10,184.6,18.393,36.588001,3.16,,186.0,,26.379539865523384
31.7501,295.83051,Station 10,185.0,,,,,186.4,,
31.7501,295.83051,Station 10,185.4,18.426,36.598999,3.17,,186.8,,26.379507416199658
31.7501,295.83051,Station 10,186.1,18.459,36.589001,2.34,0.16,187.5,14625.0,26.363556534749478
31.7501,295.83051,Station 10,232.0,18.117,36.570999,3.64,,233.8,,26.436276422093442
31.7501,295.83051,Station 10,233.3,18.246,36.591,3.45,,235.1,,26.41899335098492
31.7501,295.83051,Station 10,235.0,,,,,236.8,,
31.7501,295.83051,Station 10,236.3,18.26,36.589001,3.47,0.26,238.1,13346.153846153846,26.413948981936073
31.7501,295.83051,Station 10,281.4,18.072,36.576,3.61,,283.6,,26.45138386878807
31.7501,295.83051,Station 10,285.2,17.961,36.558998,3.89,,287.4,,26.466248768099376
31.7501,295.83051,Station 10,286.6,18.056,36.563,3.92,0.278049,288.8,14098.23448384997,26.445534724068693
31.7501,295.83051,Station 10,287.7,17.971,36.568001,3.71,,289.9,,26.47058456869172
31.7501,295.83051,Station 10,337.7,17.812,36.542999,3.92,,340.3,,26.491229620935428
31.7501,295.83051,Station 10,345.7,17.954,36.557999,3.8049999999999997,0.263415,348.4,14444.887345063871,26.467273838143228
31.7501,295.83051,Station 10,414.2,17.509,36.480999,4.88,,417.5,,26.519041907030214
31.7501,295.83051,Station 10,417.0,,,,,420.3,,
31.7501,295.83051,Station 10,420.9,17.634,36.501999,4.515,0.292683,424.3,15426.246143438462,26.5042463646987
31.7501,295.83051,Station 10,421.4,17.508,36.491001,4.41,,424.8,,26.52689842292375
31.7501,295.83051,Station 10,497.1,16.737,36.321999,7.36,,501.2,,26.585029101868486
31.7501,295.83051,Station 10,498.6,16.661,36.317001,6.78,,502.7,,26.599314885588683
